Clue,Answer
A swift kick to the rear as instruction for RUC? (4-4),BACK-HEEL
Traveller uttered unfocused angry outburst (7),VAGRANT
"Press become tedious, with old content (7)",DRAGOON
Labour's core began developing plant in Slough? (7),BOGBEAN
Squirt American uncle that's been dumped overboard (6),JETSAM
Praise out of place in review of books (5),AUDIT
About to go back to a security organisation - one with several branches (6),ACACIA
"Old head has a gin, say, after school (6)",SATRAP
One can't go off at nights (9),INSOMNIAC
Perth perv returned to dance (4),REEL
Seat in tree is rare (6),BREECH
French policeman or criminal armed with information (8),GENDARME
Train Earl to get more canny touring Pennsylvania (8),ESPALIER
Monkey outside small recess (4),APSE
Ruined a sculpture (4),BUST
During psalm conductor talks foolishly (8),PRATTLES
Robert put old tie on American bird (8),BOBOLINK
Doctor entertains artist with piano and a brandy (6),GRAPPA
Bats finally settling on stove (4),GAGA
Short belt - one form of punishment creating a storm! (9),HURRICANE
Great cricketer becomes more like a judge? (6),SOBERS
Flat behind the Spanish cardinal (6),ELEVEN
Painting Caruso performing with choir (11),CHIAROSCURO
Class left out of big house (5),CASTE
A jolly cleaner goes round one piece of furniture (8),ARMCHAIR
Back in a short while (6),SECOND
Swimming manager fills dry bag (9),TERMAGANT
Grog makes you dim when put under pressure (3),ALE
"Farm facility with fallen leader, grabbed by criminal mastermind with yen for dodgy deals (7-6)",JIGGERY POKERY
To defeat hunk is an outstanding achievement (11),MASTERPIECE
American left a flashing light outside as a navigator's aid (9),ASTROLABE
Stupid angler almost hit pipe (8),NARGHILE
Blackpool is known for such organs (6),LIGHTS
Quickly take horse from native American (5),APACE
"Bother sandboy, now and then (3)",ADO
Cheating player playing craps hard (9),CARDSHARP
Public school dismisses head for a lot of speed? (3),TON
Tirade about a member of parliament that’s unrestrained (7),RAMPANT
Singer in first ENO Rigoletto (5),TENOR
Eroded around front of ship — not so good (5),WORSE
Visitor caught everyone with Queen (6),CALLER
New impression of non-monarchy and leaderless country (13),REPUBLICATION
Father has a chap returning hat (6),PANAMA
Choirmaster’s beginning to repeat part of Mass (5),CREDO
The man’s gaining tons in robbery (5),HEIST
Moving to a more select café? (7),TEAROOM
Black and silver item of luggage (3),BAG
A short month before Speaker becomes a moderniser of the House? (9),DECORATOR
Barrister that’s soft and smooth (4),SILK
Sheriff’s officer to leave money for waiters (8),TIPSTAFF
Chap gets older but copes (7),MANAGES
Proposer is Shaker’s companion? (5),MOVER
"Tricky problem, brewing artisan beer (5-6)",BRAIN-TEASER
Everyone in short dash for US city (6),DALLAS
Pictures came in for restoration (6),CINEMA
"Appear, as moths tend to? (4,2,5)",COME TO LIGHT
Present of francs given to monarch (5),OFFER
"I won’t itemise the rest, even quickly (3,2,2)",AND SO ON
Smear pan to cook cheese (8),PARMESAN
Very dark in Kentucky (4),INKY
A corpse: important one? (8),SOMEBODY
"In Berlin, dainty girl (5)",LINDA
"Going along with others, one’s on foot (2,4)",IN STEP
"Like some workers, needing houses destroyed (4-7)",SEMI-SKILLED
Unfavourable notice on poem (7),ADVERSE
Reasonable-sounding food (4),FARE
"Police force, green, admire criminal (11)",GENDARMERIE
Need just showing self-indulgence (8),WANTONLY
Match the Devil (7),LUCIFER
A pastry’s built up in layers (6),STRATA
Express dismay as relative has nothing to eat (5),GROAN
Deck going up and down (4),POOP
"Scot's pretty heartless, certainly not fed up! (4)",BONY
"Two boys look embarrassed to get a big hand (5,5)",ROYAL FLUSH
Endless fun with French girlfriend in US city (7),LARAMIE
"Dramatist, English writer, penning story (7)",MOLIERE
Alcohol's taken in small drops — it's silky stuff (9),GROSGRAIN
Med resort's inspiring hotel in suitable place (5),NICHE
"Backing statute, rulers second support for motion (7,5)",WALKING STICK
"Pub riot, with cokes spilled? It's young people's entertainment (7,5)",PICTURE BOOKS
High official and old men laugh (5),PASHA
Building feature: walls in Nevada and Delaware (9),COLONNADE
Tongue in need of a drink (7),ARABICA
Take away starter of tempura transported back (7),DETRACT
"Bird's places for putting some wool, say (10)",GREENSHANK
Runner would briefly lose control in motion (4),SKID
"£50 in pocket, have fine attire (8)",BALLGOWN
Just managed to put up with Lowry novel (8),NARROWLY
Round and large character (5),OMEGA
Saltire bedecked by a church's patterned covering (9),AXMINSTER
"Dossier's place in affair besetting current politicians (6,7)",FILING CABINET
"In France, a key old international agency (6)",UNESCO
What about two media bigshots gets noticed (6),HEEDED
Noticing Mafia criminal blowing things up (13),MAGNIFICATION
Barge in front of canal has great horses around (4-5),GATE
Beastly male with an aggressor's weapon (8),TOMAHAWK
Agreed East End's in need of renovation (8),ASSENTED
Jumped in Sierra before accident (6),SPRANG
Property to develop? Not at first (6),ESTATE
Left port carrying cargo (5),LADEN
Move around behind large stove (9),REARRANGE
Old-fashioned fool interrupts gym class (5),PASSE
Bullet casing with raised line found behind barrow? (9),CARTRIDGE
Son to possess smooth face? (5),SHAVE
"Nice try in developing urban problem area? (5,4)",INNER CITY
Kitchen for craft right out of art venue (6),GALLEY
"Look, lad’s not finished garden feature (6)",GAZEBO
Off-the-shoulder end of Teeswater held by wire fastener beside ship (9),STRAPLESS
Fool accepting second surprising plot development (5),TWIST
Goddess of beauty atrophied terribly (9),APHRODITE
Beam of light in contact with synthetic fabric (5),RAYON
"Aircraft circling fringes of eastern New York, which Beatles sang about (5,4)",PENNY LANE
"Get to mislead, with Republican replacing Democrat (7)",RECEIVE
Publicising longest UK road with circular shape (6),AIRING
"Less common instalment of Frasier, a rerun (5)",RARER
Encouraging sign from sleepy land? (3),NOD
"European, extremely old, stopping to become less hard occasionally (5,2,5)",EVERY SO OFTEN
"One might be attached to a parcel, a tiny bit of land? (7,5)",POSTAGE STAMP
Flashy gem that gets waved around when guy’s on fire? (8),SPARKLER
Name I yet find strange (8),IDENTIFY
"Gold and stone, before going without luxuries (7)",AUSTERE
Eye part which damage could make tear in? (6),RETINA
Someone acting for another in favour of two unknowns (5),PROXY
Layer often found in batteries? (3),HEN
Batter fish first then start to steam rhubarb (10),CODSWALLOP
"Drink from a small can, briefly (4)",ASTI
"Ugly ball he smashed gets show of amusement (5,5)",BELLY LAUGH
Not in favour of major road skirting edges of Newport(4),ANTI
Allow prince to be very nasty indeed (6),LETHAL
"Private place for film? (2,6)",IN CAMERA
"Prepare to go round part of theatre (5,6)",DRESS CIRCLE
"Portable food didn’t have drink for Spooner (6,5)",PACKED LUNCH
"Grannie follows deer — trying, at first, to be still (8)",STAGNANT
Source of wine for artist in restaurant (6),CARAFE
A doctor’s old reading desk (4),AMBO
Made a meal of deliveries and declared (10),OVERSTATED
Flat race is short (4),EVEN
Make a bloomer in return for a sweet and spicysnack (10),BRANDYSNAP
Hastily mend an old paving stone (6),COBBLE
Remove obstruction in river (6),DELETE
"Approach Polish guys outside a southern capital?(4,3,5)",WAYS AND MEANS
Perhaps metal from church roof in the van (4),LEAD
Setting up keyboard instrument with one pipe (10),ORGANISING
"I order you to serve porridge, for example (8)",SENTENCE
Made it twice possibly? (8),IMITATED
"Around end of dinner, food served includes anunhealthy-looking cake (6,6)",DANISH PASTRY
"Good batting at all times by George! (4,1,5)",WELL I NEVER
Rat initially attracted by rubbish put outside (8),APOSTATE
Grope for board game (8),SCRABBLE
Sailor climbing brown palm (6),RATTAN
Finally strippers finish burlesque (4-2),SEND-UP
Look happy when dull work is nearly done (4),GRIN
ID card's not in order? That's harsh (10),DISCORDANT
"Academic needs east-facing study, it's assumed (6)",DONNED
Flowing water about to invade street in the morning (6),STREAM
Pernickety person — kind inside (4),TYPE
"Fairy, cast off, died (8)",PERISHED
"Poor area to reach, going outside hotel (6)",GHETTO
"A Catholic, the female who may have a quiver? (6)",ARCHER
My virtue (8),GOODNESS
Beast that is cross — bull initially confined (4),IBEX
Fret about wading bird seen by river (6),REGRET
To deal with soldier takes time (6),MANAGE
People in limousines? You may see them at weddings (10),CARNATIONS
Nothing right in girl? That's hard! (5),IVORY
Prisoner given shelter is satisfied (7),CONTENT
Marxist maybe looking hot and bothered? (3),RED
For Europeans it's a terrible strain to accommodate us (9),AUSTRIANS
Stipulations for academic periods (5),TERMS
Some enter a cemetery: a bit of a bloomer (6),RACEME
Harry eats rubbish? I object! (9),PROTESTER
"Former President in small house, gone (6)",HOOVER
"Wine? Sing, drinking one — then get another one! (7)",CHIANTI
Greek party with wealth not half evident (5),DORIC
The Spanish drink in Scottish city (5),ELGIN
"Bird once in trench, having lost tail (3)",MOA
Officer’s plan again to retreat (6),WARDER
Tribe has bewildered language expert (8),HEBRAIST
Looked at team getting embarrassed after trick (10),CONSIDERED
Island for the nobs featured in back issue of periodical (4),GUAM
"Reduce something bloody, having got back in time (8)",DEROGATE
Endless chatter around a fellow's clubs (6),LATHIS
Sheep runs that may hold water (4),EWER
This person is probing your old-fashioned food content (8),THIAMINE
"Poet’s line, one on compassion (8)",LOVELACE
Bed or mattress? It may be found in here (4),DORM
"Affected by bugs, get cold after first day of month (6)",SEPTIC
Melting tarmac starts to restrict some vehicles (8),TRAMCARS
Magical power of weaver in story spoken of (4),MANA
Priest and French actor performing? It's uplifting (10),LEVITATION
Base established — cycle around it? (8),PEDESTAL
Perversion is admitted by unfortunate male (6),SADISM
Pole’s few lines of poetry (5),ANODE
Sure to be upset following party conversation (9),DISCOURSE
Spoke favouring reform — not Conservative (6),RADIAL
"Several faiths TV represented in a religious celebration (7,8)",HARVEST FESTIVAL
"Short chum sits on meadow, squashing one plant (8)",BUDDLEIA
"Strong tastes, first to last, creating uncomfortable feeling (5)",ANGST
Trader giving one artist supply (9),STATIONER
"With something large in the environment, lose out completely (9)",WHOLESALE
Resolved to restrict cold with health-giving ingredients (9),MEDICATED
Inscribed within church window maybe see knight (8),LANCELOT
Love appearing in underwear in funny shows (6),PANTOS
Traffic needs to speed up heading for Edinburgh (5),TRADE
Cheats and criminals caught out (5),ROOKS
Key rings unable to be brought up (5),TABOO
Frantic chase with army ducking shots (6-3),CAMERA-SHY
Not including design leaving a waste product (9),EXCRETION
Asian dog covering miles (5),TAMIL
"Getting unseated, mounted fighter's lost face (6)",OUSTER
Tag game outside involved tariff (8),GRAFFITO
"Loudly entering drunk, sense I might get duped (4,5)",SOFT TOUCH
Like this young lady from East African port (5),LAGOS
Plaintiff's back behind person who won't be appealing? (5),FRUMP
Like to dig into top grub prepared here? (9),GASTROPUB
Go off a person in party giving a twirl (8),ROTATORY
"Periodically, varsity hymn gets a complaint (6)",ASTHMA
Give a lift to European and others around (5),ELATE
"Bourbons knocked back by this general: a vulgar, boring soldier (9)",GARIBALDI
British are out to block harsh brickbat (9),RASPBERRY
Writer quite slowly knocking out leading article (5),DANTE
"We're short of tailored clothing that's tight (3,5,3,4)",THE WORSE FOR WEAR
Funds in Madison County (5),BUCKS
Fail to limit fare before passing through duty-free? (7),OVEREAT
Cold sauce for prune (4),CLIP
Upset stomach in the end for Burger King fan (10),MONARCHIST
"Tee off straight, feeling pity for others once (7)",RUTHFUL
Calling for cuts on winning résumé (7-2),SUMMING-UP
"A single chicken sandwich (6,9)",YELLOW SUBMARINE
Chirpy Australian doctor on a run after shift (10),BUDGERIGAR
"Fliers in tropics giving clue for bananas (5,4)",FRUIT BATS
"What might season reportedly be, after fuss? (7)",POTHERB
Did rebel call the wrong way? It'll prove a bloomer (7),ROSEBUD
Treasure for Paris Commune Le Havre's seized back (5),HELEN
Sally hasn’t got over fight (4),FRAY
"Cycle on the side of a drop and court disaster (4,3,1,4)",RIDE FOR A FALL
Very fine short name for a hedgehog? (5),SONIC
"Fully discuss party no longer in the game (6,3)",THRASH OUT
Organ stop in list (8),REGISTER
"Appear in an excited state after parade (4,2)",SHOW UP
Poisonous liquid in alcohol taken by him at the end (8),METHANOL
Watchword of guy painting in retirement (6),MANTRA
In goal blocking shot (6),TRENDY
"Female changed, then sat on the fence (8)",FALTERED
Standards concerning rector (6),PARSON
"Rank reduced, so resign (4,4)",STEP DOWN
"Musical passage in film (5,4)",ANNIE HALL
Fool about to produce gunpowder ingredient (5),NITRE
"Out of harm's way, insane criminals (4-8)",SAFE
"Stage right, Oscar to play guitar (7)",ROSTRUM
"Please understand term gent now misused when feeding dog (4,3,2,5)",DONT GET ME WRONG
"Concentrate following commander, American (5)",FOCUS
"Betrayed the trust of lecturer after treat misinterpreted (6,2)",RATTED ON
Plant in bogland across river (4),FERN
"Fail to win compassion, become disillusioned (4,5)",LOSE HEART
"What may be a comfort to one who's just retired? (3-5,6)",HOT
More work! (6),UTOPIA
Group of stars with capital attorney (9),ANDROMEDA
"Leader of revolt having measure of power over revolutionary count (3,5)",WAT TYLER
"Picture which involves work (3,3)",TOP HAT
Housekeeper died: ravens flying about (7),DANVERS
Fear of god? (5),PANIC
Club's male champion (4),MACE
"Key area, watering hole (5,3)",SPACE BAR
"Worn out, quiet cat dropping head (6)",SHABBY
"Cloth cutter, reportedly, for a beginner? (7,6)",CURTAIN RAISER
Total when innings complete? (3-3),ALL
Philanderer’s limitless charm embraced by group I love (8),LOTHARIO
Utopian novel italicised (10),IDEALISTIC
Nation marked for deletion? (4),TOGO
"Primate mentioned briefly, dressing king (4)",SAKI
"Adjustment made in time, spring back (4,6)",LEAP SECOND
File in woodland getting lost (8),DOWNLOAD
"Leave on Christmas morning, possibly with papa (6)",DECAMP
"Novelist and critic cross, furious with English city (4,5,4)",FORD MADOX FORD
Case of Welshman bagging very wild dragon (6),WYVERN
Show on television initially in the money (8),PRETENCE
Cream shown in one's cups (7),PICKLED
"Fat tummy, big concern (11)",CORPORATION
Condemn explosion (5),BLAST
"Lock phone, given licence (7)",RINGLET
Film role in bag with support of American (9),SPARTACUS
Muscles  stopping system (3),ABS
Cuckoo  making beastly noise (7),BARKING
Soldier very bitter over identical issue getting high (11),ANTICYCLONE
"Sad if solemn, a British dependency (4,2,3)",ISLE OF MAN
"So distant, a buzzer in private chamber? (7)",ALOOFLY
"Ready to bat after opener dismissed? Seemed likely (5,2)",ADDED UP
"Loco caught by travelling icon, always on the move (7)",NOMADIC
"French figure that is from New Orleans, say? (5)",DIXIE
"Grain in granary, evidently! (3)",RYE
Tough guys breaking ribs? Sure! (8),BRUISERS
Like one with a large landmass (4),ASIA
Queen follows favourite saint (5),PETER
